$TrueDirectionalMovement	True Directional Movement

$TrueDirectionalMovement_AdjustCameraYawDuringMovement_OptionText	カメラの自動調整
$TrueDirectionalMovement_AdjustCameraYawDuringMovement_InfoText	移動中にカメラのヨーを自動的に調整する機能を有効にします。カメラを手動で動かした後、カメラの自動調整が無効になる時間を「カメラ自動調整遅延」で調整します。
$TrueDirectionalMovement_CameraAdjustMode_Disable	無効
$TrueDirectionalMovement_CameraAdjustMode_DuringSprint	スプリント中のみ
$TrueDirectionalMovement_CameraAdjustMode_Always	移動中

$TrueDirectionalMovement_CameraAdjustMode_Sprint	スプリント中
$TrueDirectionalMovement_CameraAdjustMode_Moving	移動中

$TrueDirectionalMovement_CameraAutoAdjustDelay_OptionText	カメラ自動調整遅延
$TrueDirectionalMovement_CameraAutoAdjustDelay_InfoText	カメラを手動で動かした後、カメラが再び自動調整を開始するまでの遅延時間（秒）を設定します。

$TrueDirectionalMovement_CameraAutoAdjustSpeedMult_OptionText	カメラ自動調整速度倍率
$TrueDirectionalMovement_CameraAutoAdjustSpeedMult_InfoText	カメラ自動調整の速度に使用される倍率です。

$TrueDirectionalMovement_TargetLockUsePOVSwitchKeyboard_OptionText	POVボタンでターゲットロック（キーボード）
$TrueDirectionalMovement_TargetLockUsePOVSwitchKeyboard_InfoText	キーボードで POV ボタンをタップしてターゲットロックを切り替えます。POV ボタンを設定以下の時間より長く押すと、元の機能が使用できます。

$TrueDirectionalMovement_TargetLockUsePOVSwitchGamepad_OptionText	POVボタンでターゲットロック（ゲームパッド）
$TrueDirectionalMovement_TargetLockUsePOVSwitchGamepad_InfoText	ゲームパッドで POV ボタンをタップしてターゲットロックを切り替えます。POV ボタンを設定以下の時間より長く押すと、元の機能が使用できます。

$TrueDirectionalMovement_TargetLockPOVHoldDuration_OptionText	POV ホールド時間
$TrueDirectionalMovement_TargetLockPOVHoldDuration_InfoText	ターゲットロックを切り替える代わりに、POV ボタンの元の機能を実行するためにボタンを押す必要がある時間（秒）を設定します。

$TrueDirectionalMovement_TargetLockUseMouse_OptionText	マウスでターゲット切り替え
$TrueDirectionalMovement_TargetLockUseMouse_InfoText	マウスを動かしてターゲットを切り替えます。

$TrueDirectionalMovement_TargetLockMouseSensitivity_OptionText	ターゲット切り替えマウス感度
$TrueDirectionalMovement_TargetLockMouseSensitivity_InfoText	マウスを動かしてターゲットを切り替える際の感度です。

$TrueDirectionalMovement_TargetLockUseScrollWheel_OptionText	スクロールホイールでターゲット切り替え
$TrueDirectionalMovement_TargetLockUseScrollWheel_InfoText	マウスのスクロールホイール（カメラズーム）を使用してターゲットを切り替えます。

$TrueDirectionalMovement_TargetLockUseRightThumbstick_OptionText	右スティックでターゲット切り替え
$TrueDirectionalMovement_TargetLockUseRightThumbstick_InfoText	右スティックを使用してターゲットを切り替えます。

$TrueDirectionalMovement_ResetCameraWithTargetLock_OptionText	ターゲットロックボタンでカメラリセット
$TrueDirectionalMovement_ResetCameraWithTargetLock_InfoText	有効にすると、有効なターゲットがいない場合にターゲットロックボタンでカメラをリセットします。

$TrueDirectionalMovement_ResetCameraPitch_OptionText	カメラのピッチをリセット
$TrueDirectionalMovement_ResetCameraPitch_InfoText	カメラのヨーだけでなく、ピッチもリセットする機能を有効にします。

$TrueDirectionalMovement_AutoTargetNextOnDeath_OptionText	次のターゲットを自動選択
$TrueDirectionalMovement_AutoTargetNextOnDeath_InfoText	現在のターゲットが死亡した後に新しいターゲットを選択します。

$TrueDirectionalMovement_TargetLockTestLOS_OptionText	視線をチェック
$TrueDirectionalMovement_TargetLockTestLOS_InfoText	現在のターゲットが視線内にない場合、ターゲットロックを解除します。

$TrueDirectionalMovement_TargetLockHostileActorsOnly_OptionText	敵対アクターのみをターゲット
$TrueDirectionalMovement_TargetLockHostileActorsOnly_InfoText	プレイヤーキャラクターに敵対的なアクターのみをターゲットにします。

$TrueDirectionalMovement_TargetLockHideCrosshair_OptionText	クロスヘアを非表示
$TrueDirectionalMovement_TargetLockHideCrosshair_InfoText	ターゲットロック中にクロスヘアを非表示にします。

$TrueDirectionalMovement_TargetLockDistance_OptionText	ターゲットロックの最大距離
$TrueDirectionalMovement_TargetLockDistance_InfoText	ターゲットロックの最大距離を設定します。

$TrueDirectionalMovement_TargetLockDistanceMultiplierSmall_OptionText	小型ターゲットの距離倍率
$TrueDirectionalMovement_TargetLockDistanceMultiplierSmall_InfoText	小型ターゲットに対して、最大距離がこの値で乗算されます。

$TrueDirectionalMovement_TargetLockDistanceMultiplierLarge_OptionText	大型ターゲットの距離倍率
$TrueDirectionalMovement_TargetLockDistanceMultiplierLarge_InfoText	大型ターゲットに対して、最大距離がこの値で乗算されます。

$TrueDirectionalMovement_TargetLockDistanceMultiplierExtraLarge_OptionText	超大型ターゲットの距離倍率
$TrueDirectionalMovement_TargetLockDistanceMultiplierExtraLarge_InfoText	超大型ターゲットに対して、最大距離がこの値で乗算されます。

$TrueDirectionalMovement_TargetLockPitchAdjustSpeed_OptionText	カメラピッチ調整速度
$TrueDirectionalMovement_TargetLockPitchAdjustSpeed_InfoText	ターゲットロックがカメラのピッチを調整する速度を設定します。

$TrueDirectionalMovement_TargetLockYawAdjustSpeed_OptionText	カメラヨー調整速度
$TrueDirectionalMovement_TargetLockYawAdjustSpeed_InfoText	ターゲットロックがカメラのヨーを調整する速度を設定します。

$TrueDirectionalMovement_TargetLockPitchOffsetStrength_OptionText	カメラピッチオフセット強度
$TrueDirectionalMovement_TargetLockPitchOffsetStrength_InfoText	現在のターゲットを画面の上半分に留めるためのオフセットの強度を設定します。

$TrueDirectionalMovement_TargetLockArrowAimType_OptionText	矢の照準モード
$TrueDirectionalMovement_TargetLockMissileAimType_OptionText	ミサイル照準モード

$TrueDirectionalMovement_TargetLockArrowAimType_InfoText	矢の照準モードを設定します。（追尾は少しおかしいです）
$TrueDirectionalMovement_TargetLockMissileAimType_InfoText	ミサイル（魔法）の照準モードを設定します。

$TrueDirectionalMovement_TargetLockProjectileAimType_FreeAim	フリーエイム
$TrueDirectionalMovement_TargetLockProjectileAimType_Predict	予測
$TrueDirectionalMovement_TargetLockProjectileAimType_Homing	追尾

$TrueDirectionalMovement_TargetLockEnableHint_OptionText	コントロールヒントを有効にする
$TrueDirectionalMovement_TargetLockEnableHint_InfoText	ターゲットロックに関する非常にシンプルでバニラスタイルのコントロールヒントを戦闘中に表示する機能を有効にします。この設定は、指示に従った後に自動的に無効になります。

$TrueDirectionalMovement_EnableTargetLockReticle_OptionText	ターゲットロックレティクルを表示
$TrueDirectionalMovement_EnableTargetLockReticle_InfoText	ターゲットロック中にレティクルウィジェットを表示する機能を有効にします。

$TrueDirectionalMovement_ReticleAnchor_OptionText	レティクルのアンカー
$TrueDirectionalMovement_ReticleAnchor_InfoText	ターゲットロックレティクルのアンカーとして機能するターゲットの体の部分を選択します。
$TrueDirectionalMovement_WidgetAnchor_Body	体
$TrueDirectionalMovement_WidgetAnchor_Head	頭

$TrueDirectionalMovement_ReticleStyle_OptionText	レティクルスタイル
$TrueDirectionalMovement_ReticleStyle_InfoText	ターゲットロックレティクルのスタイルを選択します。
$TrueDirectionalMovement_ReticleStyle_Crosshair	クロスヘア
$TrueDirectionalMovement_ReticleStyle_CrosshairNoTransform	クロスヘア（変形なし）
$TrueDirectionalMovement_ReticleStyle_Dot	ドット
$TrueDirectionalMovement_ReticleStyle_Glow	光る

$TrueDirectionalMovement_ReticleStyle_CrosshairSimpler	シンプルなクロスヘア

$TrueDirectionalMovement_ReticleScale_OptionText	レティクルのスケール
$TrueDirectionalMovement_ReticleScale_InfoText	ターゲットロックレティクルのスケールです。

$TrueDirectionalMovement_ReticleUseHUDOpacity_OptionText	HUD の不透明度を使用
$TrueDirectionalMovement_ReticleUseHUDOpacity_InfoText	ターゲットロックレティクルにバニラの HUD の不透明度設定を使用する機能を有効にします。

$TrueDirectionalMovement_ReticleOpacity_OptionText	レティクルの不透明度
$TrueDirectionalMovement_ReticleOpacity_InfoText	ターゲットロックレティクルの不透明度です。

$TrueDirectionalMovement_OverrideControllerDeadzone_OptionText	コントローラーデッドゾーンの上書き
$TrueDirectionalMovement_OverrideControllerDeadzone_InfoText	バニラのゲームのコントローラーデッドゾーン計算を上書きする機能を有効にします。

$TrueDirectionalMovement_ControllerRadialDeadzone_OptionText	コントローラーのラジアルデッドゾーン
$TrueDirectionalMovement_ControllerRadialDeadzone_InfoText	コントローラーのラジアルデッドゾーンのサイズを設定します。

$TrueDirectionalMovement_ControllerAxialDeadzone_OptionText	コントローラーのアキシャルデッドゾーン
$TrueDirectionalMovement_ControllerAxialDeadzone_InfoText	コントローラーのアキシャルデッドゾーンのサイズを設定します。

$TrueDirectionalMovement_ThumbstickBounceFix_OptionText	スティックのバウンス修正
$TrueDirectionalMovement_ThumbstickBounceFix_InfoText	コントローラーのスティックがリリースされた後に「バウンス」して不要な移動入力が発生するのをフィルタリングする試みを有効にします。キャラクターが停止した後に異なる方向に向くことがある場合に有効にしてください。

$TrueDirectionalMovement_OverrideAcrobatics_OptionText	アクロバティクス（空中制御）の上書き
$TrueDirectionalMovement_OverrideAcrobatics_InfoText	バニラのゲームの空中制御設定を上書きする機能を有効にします。

$TrueDirectionalMovement_Acrobatics_OptionText	アクロバティクス（空中制御）
$TrueDirectionalMovement_Acrobatics_InfoText	値を低くすると空中制御が制限されます。目に見える効果を得るには非常に低い値が必要なようです。バニラのデフォルト値は 1.0 です。

$TrueDirectionalMovement_AcrobaticsGliding_OptionText	滑空中のアクロバティクス
$TrueDirectionalMovement_AcrobaticsGliding_InfoText	上記の値の代わりに滑空中（パラグライダーモッド）の使用値を設定します。

$TrueDirectionalMovement_KeyConflict_Control{}_Name{}	このキーはすでに次のものに割り当てられています:\n'{}'\n({})\n\n本当に続行しますか？
$TrueDirectionalMovement_KeyConflict_Control{}	このキーはすでに次のものに割り当てられています:\n'{}'\n\n本当に続行しますか？
